protein,ensembl,gene,Leader_protein
C5L2-Ab,ENSG00000134830,C5AR2,NA
CCR10-Ab,ENSG00000184451,CCR10,NA
CD102-Ab,ENSG00000108622,ICAM2,NA
CD103-Ab,ENSG00000083457,ITGAE,ADT-CD103
CD105-Ab,ENSG00000106991,ENG,ADT-CD105
CD106-Ab,ENSG00000162692,VCAM1,NA
CD107a-Ab,ENSG00000185896,LAMP1,NA
CD109-Ab,ENSG00000156535,CD109,NA
CD110-Ab,ENSG00000117400,MPL,NA
CD112-Ab,ENSG00000130202,NECTIN2,NA
CD115-Ab,ENSG00000182578,CSF1R,ADT-CSF1R
CD117-Ab,ENSG00000157404,KIT,ADT-CD117
CD119-Ab,ENSG00000027697,IFNGR1,NA
CD11b-1-Ab,"ENSMUSG00000030786, ENSG00000169896",ITGAM,ADT-CD11B
CD11b-2-Ab,ENSG00000169896,ITGAM,ADT-CD11B
CD11c-Ab,ENSG00000140678,ITGAX,ADT-CD11C
CD122-Ab,ENSG00000100385,IL2RB,NA
CD123-Ab,ENSG00000185291,IL3RA,ADT-CD123
CD124-Ab,ENSG00000077238,IL4R,NA
CD126-Ab,ENSG00000160712,IL6R,NA
CD127-Ab,ENSG00000168685,IL7R,ADT-CD127
CD13-Ab,ENSG00000166825,ANPEP,NA
CD133-1-Ab,ENSG00000007062,PROM1,NA
CD133-2-Ab,ENSG00000007062,PROM1,NA
CD134-Ab,ENSG00000186827,TNFRSF4,ADT-OX40
CD135-Ab,ENSG00000122025,FLT3,NA
CD137-Ab,ENSG00000049249,TNFRSF9,NA
CD138-1-Ab,ENSG00000115884,SDC1,ADT-CD138
CD138-2-Ab,ENSG00000115884,SDC1,ADT-CD138
CD14-Ab,ENSG00000170458,CD14,ADT-CD14
CD140a-Ab,ENSG00000134853,PDGFRA,ADT-CD140A
CD140b-Ab,ENSG00000113721,PDGFRB,ADT-CD140B
CD141-Ab,ENSG00000178726,THBD,ADT-CD141
CD142-Ab,ENSG00000117525,F3,NA
CD144-Ab,ENSG00000179776,CDH5,NA
CD146-Ab,ENSG00000076706,MCAM,ADT-CD146
CD15-Ab,ENSG00000196371,FUT4,NA
CD152-Ab,ENSG00000163599,CTLA4,ADT-CTLA4
CD154-Ab,ENSG00000102245,CD40LG,NA
CD155-Ab,ENSG00000073008,PVR,NA
CD158-Ab,ENSG00000125498,KIR2DL1,NA
CD158b-Ab,ENSG00000243772,KIR2DL3,NA
CD158e1-Ab,ENSG00000167633,KIR3DL1,NA
CD16-Ab,ENSG00000203747,FCGR3A,ADT-CD16
CD161-Ab,ENSG00000111796,KLRB1,ADT-CD161
CD163-Ab,ENSG00000177575,CD163,ADT-CD163
CD164-Ab,ENSG00000135535,CD164,NA
CD169-Ab,ENSG00000088827,SIGLEC1,ADT-CD169
CD171-Ab,ENSG00000198910,L1CAM,NA
CD172a-Ab,ENSG00000198053,SIRPA,NA
CD178-Ab,ENSG00000117560,FASLG,NA
CD18-Ab,ENSG00000160255,ITGB2,NA
CD184-Ab,ENSG00000121966,CXCR4,NA
CD185-Ab,ENSG00000160683,CXCR5,ADT-CXCR5
CD186-Ab,ENSG00000172215,CXCR6,NA
CD19-Ab,ENSG00000177455,CD19,ADT-CD19
CD192-Ab,ENSG00000121807,CCR2,NA
CD193-Ab,ENSG00000183625,CCR3,NA
CD194-Ab,ENSG00000183813,CCR4,ADT-CCR4
