epoch,gex2adt,gex2gex,lr,step,train_loss,val_gex2adt,val_loss
0,,,,21,,11881.537109375,11881.84375
1,,,,43,,11599.7919921875,11600.080078125
2,11032.1337890625,0.287717342376709,0.009999999776482582,49,11032.421875,,
2,,,,65,,11288.6767578125,11288.9619140625
3,,,,87,,11035.416015625,11035.6982421875
4,10555.892578125,0.2792149484157562,0.009999999776482582,99,10556.171875,,
4,,,,109,,10791.52734375,10791.810546875
5,,,,131,,10590.1162109375,10590.3994140625
6,10291.5283203125,0.28231725096702576,0.009999999776482582,149,10291.810546875,,
6,,,,153,,10423.8974609375,10424.1796875
