Gene_Id,Hugo_Symbol,my_Id
1,A1BG,1
10,NAT2,5
100,ADA,83
1000,CDH2,825
10000,AKT3,7800
100008586,GAGE12F,28536
10001,MED6,7801
10003,NAALAD2,7803
100037417,DDTL,28657
100049587,SIGLEC14,28680
10005,ACOT8,7805
10006,ABI1,7806
10007,GNPDA1,7807
10009,ZBTB33,7809
1001,CDH3,826
10010,TANK,7810
100101267,POM121C,28708
100101467,ZSCAN30,28716
10011,SRA1,7811
100124696,TEC,28768
100127983,C8orf88,28894
100129128,KHDC1L,29295
100129250,SMIM27,29342
100129278,TDRD15,29356
100129842,ZNF737,29576
10013,HDAC6,7812
100130361,CXorf49,29768
100131017,ZNF316,29973
100131187,TSTD1,30024
100131211,NEMP2,30034
100131244,ANKRD63,30044
100131390,SP9,30085
100131755,ARMCX4,30180
100131801,PET100,30196
100131827,ZNF717,30203
100131980,ZNF705G,30247
100132146,FAM240A,30294
100132386,KRTAP4-9,30354
100132417,FCGR1CP,30363
100132994,CXorf49B,30502
100134934,TEN1,30616
100134938,UPK3BL1,30617
100137047,JMJD7,30621
10014,HDAC5,7813
10015,PDCD6IP,7814
10016,PDCD6,7815
100170841,EPOP,30794
10018,BCL2L11,7817
100187828,HBD,30806
100188893,TOMM6,30927
10019,SH2B3,7818
1002,CDH4,827
10020,GNE,7819
10021,HCN4,7820
10022,INSL5,7821
10024,TROAP,7823
10025,MED16,7824
10026,PIGK,7825
100271715,ARHGEF33,32402
100271849,MEF2B,32413
100272147,CMC4,32431
100287171,WASHC1,32501
100287178,USP17L11,32505
100287226,ZNF729,32517
100287238,USP17L13,32521
100287477,LOC100287477,32564
100287932,TIMM23,32655
100288413,ERVMER34-1,32756
100288687,DUX4,32815
100289087,TSPY10,32893
100289462,DEFB4B,32963
100289635,ZNF605,32990
100293516,ZNF587B,33011
100293534,C4B_2,33012
100294715,BOP,33022
1003,CDH5,828
100302652,GPR75-ASB3,33208
100302736,TMED7-TICAM2,33227
100303755,PET117,33247
10036,CHAF1A,7830
10038,PARP2,7831
100381270,ZBED6,33619
10039,PARP3,7832
1004,CDH6,829
10040,TOM1L1,7833
10042,HMGXB4,7834
100423062,IGLL5,35478
10043,TOM1,7835
10044,SH2D3C,7836
10045,SH2D3A,7837
10046,MAMLD1,7838
100462977,MTRNR2L1,35558
10048,RANBP9,7840
10049,DNAJB6,7841
100499483,CCDC180,35624
1005,CDH7,830
100500938,CCDC179,35750
100505385,IQCJ-SCHIP1,35757
100505573,INAFM2,35792
100505876,CEBPZOS,35878
100506012,PPP5D1P,35919
100506144,TMEM35B,35966
100506564,THEGL,36078
100506658,OCLN,36098
100506742,CASP12,36133
100507290,ZNF865,36275
100507341,SMIM18,36287
100507421,TMEM178B,36316
100507436,MICA,36323
